CDS	UCE	coding_UCE	nocoding_UCE
0.056627575	0	0	0
5.662757533	6.098559286	0	6.837516929
0.736158479	0.469119945	0	0.525962841
0.792786055	1.407359835	4.340729937	1.051925681
1.868709986	2.345599725	4.340729937	2.103851363
0.48133439	0	0	0
0.254824089	0.469119945	0	0.525962841
1.075923931	0.93823989	0	1.051925681
0.651217116	0	0	0
38.67663395	80.68863055	60.77021912	83.10212883
1.160865294	1.87647978	8.681459874	1.051925681
1.981965137	1.87647978	0	2.103851363
3.652478609	4.222079506	13.02218981	3.155777044
2.718123616	2.81471967	0	3.155777044
2.378358164	2.345599725	4.340729937	2.103851363
7.078446916	6.567679231	4.340729937	6.837516929
2.321730589	2.345599725	0	2.629814204
8.862215539	9.382398901	4.340729937	9.993293974
0.906041205	0.93823989	4.340729937	0.525962841
8.352567361	8.913278956	8.681459874	8.941368292
0.736158479	1.87647978	0	2.103851363
1.840396198	2.81471967	0	3.155777044
1.274120445	0.93823989	0	1.051925681
0.056627575	0	0	0
2.633182253	4.691199451	0	5.259628407
6.682053889	11.72799863	13.02218981	11.5711825
0.056627575	0	0	0
3.284399369	4.222079506	4.340729937	4.207702726
0.084941363	0	0	0
1.33074802	0.469119945	0	0.525962841
0.877727418	0.93823989	4.340729937	0.525962841
1.670513472	2.345599725	4.340729937	2.103851363
2.803064979	6.098559286	8.681459874	5.785591248
0.283137877	0	0	0
1.783768623	0.469119945	0	0.525962841
0.254824089	0	0	0
1.415689383	1.87647978	4.340729937	1.577888522
1.387375596	2.345599725	4.340729937	2.103851363
0.877727418	0.469119945	0	0.525962841
4.813343903	4.691199451	4.340729937	4.733665567
2.265103013	2.81471967	0	3.155777044
1.500630746	1.407359835	8.681459874	0.525962841
3.142830431	4.222079506	0	4.733665567
2.038592712	3.283839615	4.340729937	3.155777044
0.934354993	0.93823989	0	1.051925681
5.153109355	3.283839615	8.681459874	2.629814204
1.047610144	2.345599725	0	2.629814204
3.454282095	5.160319396	0	5.785591248
0.821099842	1.407359835	0	1.577888522
0.424706815	0.469119945	4.340729937	0
2.746437404	5.629439341	0	6.311554089
1.528944534	1.407359835	4.340729937	1.051925681
0.113255151	0.469119945	0	0.525962841
2.236789226	2.345599725	4.340729937	2.103851363
2.038592712	2.345599725	8.681459874	1.577888522
1.075923931	2.81471967	0	3.155777044
2.0669065	2.81471967	0	3.155777044
0.48133439	0	0	0
36.86455154	31.43103632	34.7258395	31.0318076
0.679530904	1.407359835	4.340729937	1.051925681
0.453020603	0.469119945	0	0.525962841
0	0	0	0
0.453020603	1.407359835	0	1.577888522
0.48133439	0.93823989	0	1.051925681
1.613885897	5.160319396	4.340729937	5.259628407
1.359061808	0.93823989	0	1.051925681
1.613885897	2.81471967	4.340729937	2.629814204
2.151847863	3.283839615	0	3.681739885
1.019296356	1.407359835	4.340729937	1.051925681
0.990982568	1.407359835	0	1.577888522
1.528944534	0.93823989	0	1.051925681
3.086202855	1.407359835	4.340729937	1.051925681
2.293416801	2.81471967	4.340729937	2.629814204
0.198196514	0	0	0
2.54824089	1.407359835	0	1.577888522
2.038592712	0.93823989	0	1.051925681
1.783768623	4.222079506	0	4.733665567
0.877727418	0.469119945	0	0.525962841
4.586833602	6.567679231	13.02218981	5.785591248
3.454282095	3.283839615	0	3.681739885
3.652478609	10.32063879	13.02218981	9.993293974
2.095220287	1.87647978	4.340729937	1.577888522
0.906041205	0.93823989	4.340729937	0.525962841
0.594589541	0.469119945	0	0.525962841
0.141568938	0	0	0
2.718123616	3.283839615	4.340729937	3.155777044
2.095220287	2.81471967	8.681459874	2.103851363
0.764472267	0.469119945	4.340729937	0
1.953651349	6.567679231	4.340729937	6.837516929
25.79386056	23.45599725	47.74802931	20.51255079
122.0607386	317.5942028	147.5848179	338.1941066
4.3603233	3.75295956	4.340729937	3.681739885
2.208475438	1.87647978	4.340729937	1.577888522
2.0669065	2.81471967	4.340729937	2.629814204
1.019296356	1.407359835	0	1.577888522
2.434985739	1.407359835	0	1.577888522
0.792786055	0.93823989	0	1.051925681
25.2558986	27.20895681	21.70364969	27.87603056
4.020557848	4.222079506	4.340729937	4.207702726
0.566275753	0.93823989	0	1.051925681
0.509648178	0	0	0
1.104237719	2.345599725	8.681459874	1.577888522
0.36807924	1.407359835	0	1.577888522
6.738681464	10.32063879	13.02218981	9.993293974
2.661496041	6.098559286	4.340729937	6.311554089
1.160865294	1.87647978	0	2.103851363
1.755454835	2.81471967	0	3.155777044
2.774751191	3.283839615	8.681459874	2.629814204
1.189179082	0.93823989	4.340729937	0.525962841
1.472316959	2.345599725	0	2.629814204
0.254824089	0.469119945	0	0.525962841
12.25987006	10.32063879	13.02218981	9.993293974
4.020557848	4.222079506	4.340729937	4.207702726
0.028313788	0	0	0
1.132551507	1.407359835	4.340729937	1.051925681
1.21749287	0.93823989	0	1.051925681
2.463299527	2.81471967	0	3.155777044
1.047610144	1.87647978	0	2.103851363
0.169882726	0.469119945	4.340729937	0
2.944633917	6.098559286	13.02218981	5.259628407
3.51090967	2.345599725	4.340729937	2.103851363
1.755454835	2.345599725	4.340729937	2.103851363
0.651217116	0	0	0
3.114516643	7.036799176	13.02218981	6.311554089
0.622903329	0.93823989	0	1.051925681
1.642199685	1.87647978	4.340729937	1.577888522
0.509648178	0.93823989	4.340729937	0.525962841
1.047610144	1.87647978	4.340729937	1.577888522
7.27664343	16.41919808	17.36291975	16.30484806
1.755454835	0.93823989	4.340729937	0.525962841
0.990982568	1.87647978	4.340729937	1.577888522
13.90206974	20.17215764	30.38510956	18.93466227
5.974209197	8.913278956	0	9.993293974
0.877727418	1.407359835	4.340729937	1.051925681
1.302434233	0.93823989	0	1.051925681
3.765733759	7.505919121	4.340729937	7.889442611
3.737419972	2.81471967	0	3.155777044
0.084941363	0	0	0
1.189179082	1.407359835	0	1.577888522
1.500630746	1.407359835	0	1.577888522
1.104237719	1.407359835	0	1.577888522
1.953651349	4.222079506	4.340729937	4.207702726
1.444003171	1.407359835	0	1.577888522
2.803064979	2.345599725	4.340729937	2.103851363
1.302434233	1.407359835	8.681459874	0.525962841
0.453020603	1.407359835	0	1.577888522
8.522450087	17.82655791	4.340729937	19.46062511
2.038592712	1.87647978	0	2.103851363
0.594589541	0.93823989	0	1.051925681
2.774751191	1.407359835	4.340729937	1.051925681
4.24706815	7.505919121	0	8.415405452
2.321730589	0.93823989	4.340729937	0.525962841
3.256085581	7.036799176	4.340729937	7.36347977
2.972947705	2.81471967	0	3.155777044
6.653740101	5.629439341	0	6.311554089
1.69882726	3.283839615	0	3.681739885
0.566275753	0	0	0
2.944633917	4.222079506	4.340729937	4.207702726
0.226510301	0	0	0
0.028313788	0	0	0
0.934354993	1.407359835	0	1.577888522
2.038592712	4.222079506	4.340729937	4.207702726
2.406671952	3.283839615	4.340729937	3.155777044
0.821099842	0	0	0
1.415689383	2.81471967	0	3.155777044
1.812082411	2.81471967	0	3.155777044
4.077185424	4.222079506	4.340729937	4.207702726
2.350044376	3.283839615	4.340729937	3.155777044
7.64472267	14.5427183	4.340729937	15.77888522
0	0	0	0
1.528944534	2.81471967	4.340729937	2.629814204
0.028313788	0	0	0
0.537961966	0.469119945	0	0.525962841
1.783768623	3.283839615	4.340729937	3.155777044
0.226510301	0.93823989	4.340729937	0.525962841
1.528944534	2.345599725	4.340729937	2.103851363
0.821099842	0.469119945	4.340729937	0
0.283137877	0.469119945	4.340729937	0
7.701350245	23.45599725	0	26.29814204
0.028313788	0	0	0
1.132551507	1.87647978	4.340729937	1.577888522
1.359061808	1.407359835	0	1.577888522
0.906041205	1.87647978	4.340729937	1.577888522
0.311451664	0	0	0
0.906041205	0.469119945	0	0.525962841
3.284399369	3.75295956	0	4.207702726
0.821099842	1.407359835	0	1.577888522
2.151847863	2.345599725	4.340729937	2.103851363
4.162126787	6.098559286	13.02218981	5.259628407
