type	count_UCE_noncoding
CNSC	0
HCC	14
CNSC	1
PNET	2
RCC	4
PRAD	0
THCA	1
PRAD	3
PRAD	0
CRC	158
Lymphoma	1
RCC	5
HCC	6
RCC	8
UCEC	5
BRCA	13
RCC	5
NSCLC	19
PRAD	1
PACA	19
PNET	4
HCC	6
OV	2
CNSC	0
NSCLC	10
EGAC	24
CNSC	0
Lymphoma	10
CNSC	0
HNSC	1
PACA	1
PACA	4
HCC	11
CNSC	0
CNSC	1
PNET	0
UCEC	3
Lymphoma	4
CNSC	1
PACA	11
HCC	7
BSTC	2
CRC	10
HCC	6
CNSC	2
BRCA	6
PACA	5
CESC	12
CLL	3
CNSC	1
RCC	12
PACA	2
PNET	1
OV	4
CRC	3
PACA	6
Lymphoma	7
THCA	0
CRC	91
PNET	2
CLL	1
CNSC	0
CNSC	3
CNSC	2
HCC	12
RCC	2
Lymphoma	6
CESC	7
HCC	4
PNET	3
BSTC	2
Lymphoma	2
PACA	5
THCA	0
BRCA	3
CESC	2
RCC	9
PRAD	2
CRC	11
HNSC	7
HCC	20
CNSC	3
EGAC	1
PRAD	1
CLL	0
EGAC	6
OV	4
RCC	0
PACA	14
BRCA	40
CRC	644
NSCLC	7
PACA	5
PACA	5
PRAD	4
HCC	3
OV	2
NSCLC	56
PACA	9
CLL	2
RCC	0
CNSC	3
PNET	4
NSCLC	19
HCC	12
PRAD	2
PRAD	7
PRAD	5
PRAD	2
PRAD	5
THCA	1
UCEC	19
BLCA	8
CNSC	0
PRAD	2
PRAD	2
EGAC	7
HCC	4
NSCLC	0
PACA	10
OV	4
HCC	4
CESC	1
Lymphoma	12
CNSC	2
HCC	4
CNSC	1
EGAC	3
NSCLC	31
HNSC	2
PNET	3
Lymphoma	36
EGAC	22
PRAD	2
RCC	2
HCC	16
EGAC	6
EGAC	0
PACA	3
RCC	5
CESC	3
HNSC	10
EGAC	3
PACA	5
PACA	1
HCC	3
EGAC	39
UCEC	3
PRAD	2
CRC	2
HCC	19
RCC	1
HCC	14
BRCA	6
HCC	13
HCC	7
CLL	0
PACA	8
CLL	0
CNSC	0
PRAD	3
OV	9
Lymphoma	7
PRAD	0
OV	6
OV	7
OV	9
PACA	6
HCC	30
CNSC	0
OV	5
CNSC	0
CNSC	2
PACA	8
PRAD	1
PACA	4
CLL	0
CNSC	0
EGAC	50
CNSC	0
THCA	3
HCC	6
BRCA	3
CNSC	0
BRCA	1
Lymphoma	9
CLL	3
RCC	4
CRC	11
PACA	4
PRAD	2
HCC	3
CNSC	0
RCC	1
Lymphoma	8
CESC	1
NSCLC	23
CRC	1750
CLL	1
RCC	4
OV	2
CNSC	0
EGAC	42
CRC	182
CLL	2
RCC	17
Lymphoma	9
HCC	10
RCC	2
THCA	1
UCEC	2
Lymphoma	4
NSCLC	15
EGAC	20
BRCA	3
HCC	12
OV	0
PNET	0
BSTC	6
OV	3
PACA	5
HNSC	4
EGAC	7
PACA	1
THCA	1
THCA	0
HCC	11
OV	7
PACA	8
PRAD	1
BSTC	2
HCC	4
CNSC	0
HCC	8
HNSC	12
THCA	2
THCA	2
NSCLC	19
CNSC	0
CNSC	2
UCEC	3
CLL	0
RCC	6
UCEC	3
HCC	15
PACA	5
CNSC	0
PRAD	1
EGAC	12
Lymphoma	10
PNET	1
PACA	7
PACA	6
HNSC	8
HCC	6
PACA	6
Lymphoma	16
PNET	3
EGAC	3
EGAC	7
BRCA	1
THCA	1
PRAD	2
CNSC	0
CLL	1
PRAD	2
OV	0
CNSC	0
HCC	9
BRCA	21
HCC	5
BSTC	3
HCC	4
PACA	2
Myeloid	0
NSCLC	34
PACA	4
HCC	4
Lymphoma	2
EGAC	8
RCC	3
PRAD	0
THCA	0
HNSC	11
HCC	15
OV	13
PRAD	0
CLL	1
HCC	7
RCC	3
PACA	6
CNSC	1
BTCA	16
RCC	3
HCC	7
PNET	6
PRAD	7
BRCA	8
PRAD	1
EGAC	26
PRAD	2
PACA	1
CNSC	1
EGAC	7
HCC	1
HNSC	6
HNSC	7
HNSC	16
CNSC	1
NSCLC	100
BRCA	7
CNSC	0
PACA	2
PACA	7
HNSC	39
PACA	0
CLL	5
HCC	3
Lymphoma	1
PACA	3
BRCA	5
CLL	2
PACA	0
HCC	2
CNSC	0
Lymphoma	7
UCEC	2
NSCLC	82
NSCLC	11
HCC	7
EGAC	5
PACA	10
RCC	3
Lymphoma	12
HCC	16
THCA	2
NSCLC	8
RCC	4
NSCLC	42
RCC	5
PACA	2
HCC	7
Cholangio	5
CNSC	2
PRAD	1
PACA	2
BRCA	7
EGAC	4
PACA	2
BRCA	2
CNSC	1
EGAC	28
OV	10
PNET	2
RCC	11
CLL	1
HCC	11
PNET	0
CNSC	2
CLL	2
EGAC	29
BRCA	2
HCC	15
HCC	18
Lymphoma	7
PRAD	2
EGAC	12
Lymphoma	2
PNET	2
EGAC	52
RCC	3
THCA	2
HCC	2
PACA	2
HCC	14
HNSC	2
CNSC	0
CLL	1
OV	8
CNSC	1
CNSC	5
BRCA	2
Lymphoma	6
BLCA	12
Lymphoma	3
PACA	5
OV	6
EGAC	13
OV	4
PACA	0
UCEC	7
HCC	4
PACA	1
NSCLC	26
PACA	13
HCC	8
CNSC	0
EGAC	10
Lymphoma	2
PACA	3
RCC	6
BRCA	8
CNSC	3
PRAD	3
OV	6
RCC	1
CRC	8
HCC	6
BRCA	2
THCA	0
RCC	3
CRC	1902
CLL	4
THCA	0
HCC	5
PACA	7
EGAC	1
EGAC	16
RCC	6
PRAD	3
HCC	5
Lymphoma	1
HCC	14
OV	6
CNSC	4
PACA	0
NSCLC	32
BLCA	19
CNSC	0
PRAD	2
HCC	6
PRAD	0
NSCLC	2
HCC	5
EGAC	4
BRCA	1
CNSC	1
PNET	2
UCEC	5
HCC	5
HCC	6
PACA	7
CRC	12
EGAC	15
RCC	8
CNSC	0
CESC	10
CNSC	0
HCC	8
PRAD	0
PACA	2
PACA	1
PACA	3
Myeloid	0
EGAC	6
HCC	9
RCC	8
PNET	0
PACA	2
RCC	4
OV	9
HCC	6
HCC	2
RCC	1
RCC	1
NSCLC	28
EGAC	6
RCC	4
CNSC	1
HCC	5
HNSC	1
HCC	0
PRAD	2
BRCA	5
CNSC	0
BSTC	5
HCC	21
OV	10
EGAC	15
HCC	2
EGAC	11
HCC	15
CNSC	1
CNSC	0
EGAC	3
CLL	2
PACA	6
PRAD	2
NSCLC	20
BRCA	1
HCC	1
HCC	9
EGAC	23
PNET	0
CNSC	9
CNSC	0
NSCLC	1
EGAC	2
HCC	13
EGAC	10
NSCLC	26
EGAC	76
HCC	16
CNSC	2
PACA	5
CNSC	0
Cholangio	0
CLL	2
PRAD	3
RCC	6
PACA	6
PACA	2
PRAD	2
EGAC	3
HCC	4
EGAC	6
OV	8
OV	1
CNSC	2
RCC	2
PNET	2
PNET	2
RCC	4
RCC	5
HCC	15
NSCLC	94
HCC	6
CNSC	0
PACA	4
Lymphoma	5
EGAC	32
RCC	27
PRAD	1
HCC	7
CNSC	0
PNET	2
EGAC	15
PACA	6
CRC	12
OV	5
HCC	8
HCC	9
PACA	8
PRAD	0
BSTC	3
HCC	4
