type	mutations_per_mb_UCRnoncoding
CNSC	0
HCC	7.367327586
CNSC	0.526237685
PNET	1.052475369
RCC	2.104950739
PRAD	0
THCA	0.526237685
PRAD	1.578713054
PRAD	0
CRC	83.14555419
Lymphoma	0.526237685
RCC	2.631188424
HCC	3.157426108
RCC	4.209901478
UCEC	2.631188424
BRCA	6.841089901
RCC	2.631188424
NSCLC	9.99851601
PRAD	0.526237685
PACA	9.99851601
PNET	2.104950739
HCC	3.157426108
OV	1.052475369
CNSC	0
NSCLC	5.262376847
EGAC	12.62970443
CNSC	0
Lymphoma	5.262376847
CNSC	0
HNSC	0.526237685
PACA	0.526237685
PACA	2.104950739
HCC	5.788614532
CNSC	0
CNSC	0.526237685
PNET	0
UCEC	1.578713054
Lymphoma	2.104950739
CNSC	0.526237685
PACA	5.788614532
HCC	3.683663793
BSTC	1.052475369
CRC	5.262376847
HCC	3.157426108
CNSC	1.052475369
BRCA	3.157426108
PACA	2.631188424
CESC	6.314852217
CLL	1.578713054
CNSC	0.526237685
RCC	6.314852217
PACA	1.052475369
PNET	0.526237685
OV	2.104950739
CRC	1.578713054
PACA	3.157426108
Lymphoma	3.683663793
THCA	0
CRC	47.88762931
PNET	1.052475369
CLL	0.526237685
CNSC	0
CNSC	1.578713054
CNSC	1.052475369
HCC	6.314852217
RCC	1.052475369
Lymphoma	3.157426108
CESC	3.683663793
HCC	2.104950739
PNET	1.578713054
BSTC	1.052475369
Lymphoma	1.052475369
PACA	2.631188424
THCA	0
BRCA	1.578713054
CESC	1.052475369
RCC	4.736139163
PRAD	1.052475369
CRC	5.788614532
HNSC	3.683663793
HCC	10.52475369
CNSC	1.578713054
EGAC	0.526237685
PRAD	0.526237685
CLL	0
EGAC	3.157426108
OV	2.104950739
RCC	0
PACA	7.367327586
BRCA	21.04950739
CRC	338.897069
NSCLC	3.683663793
PACA	2.631188424
PACA	2.631188424
PRAD	2.104950739
HCC	1.578713054
OV	1.052475369
NSCLC	29.46931034
PACA	4.736139163
CLL	1.052475369
RCC	0
CNSC	1.578713054
PNET	2.104950739
NSCLC	9.99851601
HCC	6.314852217
PRAD	1.052475369
PRAD	3.683663793
PRAD	2.631188424
PRAD	1.052475369
PRAD	2.631188424
THCA	0.526237685
UCEC	9.99851601
BLCA	4.209901478
CNSC	0
PRAD	1.052475369
PRAD	1.052475369
EGAC	3.683663793
HCC	2.104950739
NSCLC	0
PACA	5.262376847
OV	2.104950739
HCC	2.104950739
CESC	0.526237685
Lymphoma	6.314852217
CNSC	1.052475369
HCC	2.104950739
CNSC	0.526237685
EGAC	1.578713054
NSCLC	16.31336823
HNSC	1.052475369
PNET	1.578713054
Lymphoma	18.94455665
EGAC	11.57722906
PRAD	1.052475369
RCC	1.052475369
HCC	8.419802956
EGAC	3.157426108
EGAC	0
PACA	1.578713054
RCC	2.631188424
CESC	1.578713054
HNSC	5.262376847
EGAC	1.578713054
PACA	2.631188424
PACA	0.526237685
HCC	1.578713054
EGAC	20.5232697
UCEC	1.578713054
PRAD	1.052475369
CRC	1.052475369
HCC	9.99851601
RCC	0.526237685
HCC	7.367327586
BRCA	3.157426108
HCC	6.841089901
HCC	3.683663793
CLL	0
PACA	4.209901478
CLL	0
CNSC	0
PRAD	1.578713054
OV	4.736139163
Lymphoma	3.683663793
PRAD	0
OV	3.157426108
OV	3.683663793
OV	4.736139163
PACA	3.157426108
HCC	15.78713054
CNSC	0
OV	2.631188424
CNSC	0
CNSC	1.052475369
PACA	4.209901478
PRAD	0.526237685
PACA	2.104950739
CLL	0
CNSC	0
EGAC	26.31188424
CNSC	0
THCA	1.578713054
HCC	3.157426108
BRCA	1.578713054
CNSC	0
BRCA	0.526237685
Lymphoma	4.736139163
CLL	1.578713054
RCC	2.104950739
CRC	5.788614532
PACA	2.104950739
PRAD	1.052475369
HCC	1.578713054
CNSC	0
RCC	0.526237685
Lymphoma	4.209901478
CESC	0.526237685
NSCLC	12.10346675
CRC	920.9159483
CLL	0.526237685
RCC	2.104950739
OV	1.052475369
CNSC	0
EGAC	22.10198276
CRC	95.77525862
CLL	1.052475369
RCC	8.94604064
Lymphoma	4.736139163
HCC	5.262376847
RCC	1.052475369
THCA	0.526237685
UCEC	1.052475369
Lymphoma	2.104950739
NSCLC	7.893565271
EGAC	10.52475369
BRCA	1.578713054
HCC	6.314852217
OV	0
PNET	0
BSTC	3.157426108
OV	1.578713054
PACA	2.631188424
HNSC	2.104950739
EGAC	3.683663793
PACA	0.526237685
THCA	0.526237685
THCA	0
HCC	5.788614532
OV	3.683663793
PACA	4.209901478
PRAD	0.526237685
BSTC	1.052475369
HCC	2.104950739
CNSC	0
HCC	4.209901478
HNSC	6.314852217
THCA	1.052475369
THCA	1.052475369
NSCLC	9.99851601
CNSC	0
CNSC	1.052475369
UCEC	1.578713054
CLL	0
RCC	3.157426108
UCEC	1.578713054
HCC	7.893565271
PACA	2.631188424
CNSC	0
PRAD	0.526237685
EGAC	6.314852217
Lymphoma	5.262376847
PNET	0.526237685
PACA	3.683663793
PACA	3.157426108
HNSC	4.209901478
HCC	3.157426108
PACA	3.157426108
Lymphoma	8.419802956
PNET	1.578713054
EGAC	1.578713054
EGAC	3.683663793
BRCA	0.526237685
THCA	0.526237685
PRAD	1.052475369
CNSC	0
CLL	0.526237685
PRAD	1.052475369
OV	0
CNSC	0
HCC	4.736139163
BRCA	11.05099138
HCC	2.631188424
BSTC	1.578713054
HCC	2.104950739
PACA	1.052475369
Myeloid	0
NSCLC	17.89208128
PACA	2.104950739
HCC	2.104950739
Lymphoma	1.052475369
EGAC	4.209901478
RCC	1.578713054
PRAD	0
THCA	0
HNSC	5.788614532
HCC	7.893565271
OV	6.841089901
PRAD	0
CLL	0.526237685
HCC	3.683663793
RCC	1.578713054
PACA	3.157426108
CNSC	0.526237685
BTCA	8.419802956
RCC	1.578713054
HCC	3.683663793
PNET	3.157426108
PRAD	3.683663793
BRCA	4.209901478
PRAD	0.526237685
EGAC	13.6821798
PRAD	1.052475369
PACA	0.526237685
CNSC	0.526237685
EGAC	3.683663793
HCC	0.526237685
HNSC	3.157426108
HNSC	3.683663793
HNSC	8.419802956
CNSC	0.526237685
NSCLC	52.62376847
BRCA	3.683663793
CNSC	0
PACA	1.052475369
PACA	3.683663793
HNSC	20.5232697
PACA	0
CLL	2.631188424
HCC	1.578713054
Lymphoma	0.526237685
PACA	1.578713054
BRCA	2.631188424
CLL	1.052475369
PACA	0
HCC	1.052475369
CNSC	0
Lymphoma	3.683663793
UCEC	1.052475369
NSCLC	43.15149015
NSCLC	5.788614532
HCC	3.683663793
EGAC	2.631188424
PACA	5.262376847
RCC	1.578713054
Lymphoma	6.314852217
HCC	8.419802956
THCA	1.052475369
NSCLC	4.209901478
RCC	2.104950739
NSCLC	22.10198276
RCC	2.631188424
PACA	1.052475369
HCC	3.683663793
Cholangio	2.631188424
CNSC	1.052475369
PRAD	0.526237685
PACA	1.052475369
BRCA	3.683663793
EGAC	2.104950739
PACA	1.052475369
BRCA	1.052475369
CNSC	0.526237685
EGAC	14.73465517
OV	5.262376847
PNET	1.052475369
RCC	5.788614532
CLL	0.526237685
HCC	5.788614532
PNET	0
CNSC	1.052475369
CLL	1.052475369
EGAC	15.26089286
BRCA	1.052475369
HCC	7.893565271
HCC	9.472278325
Lymphoma	3.683663793
PRAD	1.052475369
EGAC	6.314852217
Lymphoma	1.052475369
PNET	1.052475369
EGAC	27.36435961
RCC	1.578713054
THCA	1.052475369
HCC	1.052475369
PACA	1.052475369
HCC	7.367327586
HNSC	1.052475369
CNSC	0
CLL	0.526237685
OV	4.209901478
CNSC	0.526237685
CNSC	2.631188424
BRCA	1.052475369
Lymphoma	3.157426108
BLCA	6.314852217
Lymphoma	1.578713054
PACA	2.631188424
OV	3.157426108
EGAC	6.841089901
OV	2.104950739
PACA	0
UCEC	3.683663793
HCC	2.104950739
PACA	0.526237685
NSCLC	13.6821798
PACA	6.841089901
HCC	4.209901478
CNSC	0
EGAC	5.262376847
Lymphoma	1.052475369
PACA	1.578713054
RCC	3.157426108
BRCA	4.209901478
CNSC	1.578713054
PRAD	1.578713054
OV	3.157426108
RCC	0.526237685
CRC	4.209901478
HCC	3.157426108
BRCA	1.052475369
THCA	0
