CDS	UTR	IGR	Intron	ncRNA	HSRE
0	0	0	0	0	0
0	0.463985	0.317924	1.004196657	1.048938744	0.212983257
0	0	0	0.144245	0	0.815043248
0.423003	0	0	0.28849	0	0.212983257
0.423003	0	0.158962	0.432734	0	0
0	0	0	0	0	0
0	0	0	0.144245	0	0
0	0	0.317924	0.144245	0	0
0	0	0	0	0	0
1.667735853	1.666503941	2.064615205	1.944429863	1.593004571	1.836232547
0.423003	0.463985	0	0	0	0
0	0.463985	0.158962	0.432734	0	0
1.228402925	0	0.635847	0.144245	0.279819	0.815043248
0	0.463985	0.476885	0.576979	0	0.815043248
0	0	0.317924	0.432734	0	0
0.423003	0.927971	0.635847	0.576979	0.839457	0.911953261
0	0.927971	0.476885	0	0	0
0	0.927971	1.201293318	0.576979	0.839457	1.254375942
0.423003	0	0.158962	0	0	0
0.846006	1.143626755	1.155536435	0.721224	0.559638	1.292164503
0	0	0.158962	0.28849	0.279819	0
0	0	0.476885	0.144245	0.559638	0
0	0	0	0	0.559638	0.212983257
0	0	0	0	0	0
0	0	0.794809	0.721224	0	0
1.103465044	1.268563932	1.280473654	0.865469	0.559638	0.690104511
0	0	0	0	0	0
0.423003	0.463985	0.953771	0.28849	0.279819	0.212983257
0	0	0	0	0	0
0	0	0.158962	0	0	0.514013252
0.423003	0	0	0.144245	0	0.514013252
0.846006	0	0.317924	0.144245	0.279819	0.514013252
0.846006	0	1.046389797	0.576979	0	0.212983257
0	0	0	0	0	0
0	0	0	0	0.279819	0.212983257
0	0	0	0	0	0.212983257
0	0	0.476885	0	0	0.690104511
0.423003	0	0.317924	0	0.559638	0
0	0	0	0.144245	0	0
0.423003	0.463985	1.046389797	0.28849	0.279819	0.690104511
0	0.463985	0.317924	0.576979	0	0
0.846006	0	0.317924	0	0	0
0	0	0.635847	0.865469	0	0.212983257
0	0.463985	0.476885	0.28849	0	0.514013252
0	0.463985	0.158962	0	0	0.815043248
0.846006	0.927971	0.158962	0.28849	0.279819	0.514013252
0	0	0.476885	0	0.559638	0.514013252
0	1.143626755	0.317924	1.004196657	0	0.212983257
0	0	0.158962	0.28849	0	0
0	0.463985	0	0	0	0.212983257
0	0	0.635847	1.062190755	0	0.514013252
0.423003	0	0	0.28849	0	0.514013252
0	0	0.158962	0	0	0
0.423003	0.463985	0.476885	0	0	0.514013252
0.846006	0	0.317924	0	0.279819	0.815043248
0	0	0.158962	0.576979	0.279819	0.212983257
0	0	0.635847	0.144245	0.559638	0.212983257
0	0	0	0	0	0
1.626343447	1.666503941	1.581503649	1.831197665	1.145845652	1.535202551
0	0	0.158962	0	0.279819	0.212983257
0	0	0.158962	0	0	0
0	0	0	0	0	0.212983257
0	0	0.317924	0.144245	0	0.212983257
0	0	0	0.144245	0.279819	0
0.423003	0	0.476885	0.865469	0.839457	0.514013252
0	0	0.317924	0	0	0
0.423003	0	0.635847	0.28849	0	0.514013252
0	0.463985	0.158962	0.721224	0	0
